58.247.120.134[Info] pid[3073][05-21 16:37:15 0.06091600]	RedisCommands Args:["get","ApiLimit:weixin:wxfwhLogin:58.247.120.134"]
58.247.120.134[Info] pid[3240][05-21 16:41:09 0.24400700]	Mysql Execute Query:["select id, nickname, token, state, mobile, email, avatar, level, point, updateVersion, openId, unionId from members where openId = ?",["oXUAFtwt_ZbxKSadUcQxeVDT4M48"],true]
58.247.120.134[Info] pid[3240][05-21 16:41:09 0.24497400]	Mysql Execute Result:false
58.247.120.134[Info] pid[3240][05-21 16:41:09 0.24515300]	Mysql Execute Query:["insert members set state = ? ,token = ? ,nickname = ? ,password = ? ,avatar = ? ,mobile = ? ,email = ? ,level = ? ,point = ? ,pushClientId = ? ,deviceToken = ? ,openId = ? ,unionId = ?",["正常","","🤑🙄🤥🤔🤗😶😯🤑","","http:\/\/thirdwx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLALXb4ceugZ45BwkaLQWb7o6ub2Giah8nicOYKbdJ9AUsU28w4uP7L7eiaBonicVKu4NpLWLwhibF2fGg\/132","","",1,0,"","","oXUAFtwt_ZbxKSadUcQxeVDT4M48",""],false]
58.247.120.134[Info] pid[3240][05-21 16:41:09 0.24579500]	Mysql Execute Error:SQLSTATE[HY000]: General error: 1366 Incorrect string value: '\xF0\x9F\xA4\x91\xF0\x9F...' for column 'nickname' at row 1
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.27793300]	RedisCommands Args:["get","ApiLimit:weixin:wxfwhLogin:58.247.120.134"]
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.27856500]	RedisCommands Result:false
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.27866600]	RedisCommands Args:["setex","ApiLimit:weixin:wxfwhLogin:58.247.120.134",1,1]
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.27885400]	RedisCommands Result:1
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.53504900]	Mysql Execute Query:["select id, nickname, token, state, mobile, email, avatar, level, point, updateVersion, openId, unionId from members where openId = ?",["oXUAFtwt_ZbxKSadUcQxeVDT4M48"],true]
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.53600600]	Mysql Execute Result:false
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.53615300]	Mysql Execute Query:["insert members set state = ? ,token = ? ,nickname = ? ,password = ? ,avatar = ? ,mobile = ? ,email = ? ,level = ? ,point = ? ,pushClientId = ? ,deviceToken = ? ,openId = ? ,unionId = ?",["正常","","🤑🙄🤥🤔🤗😶😯🤑","","http:\/\/thirdwx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLALXb4ceugZ45BwkaLQWb7o6ub2Giah8nicOYKbdJ9AUsU28w4uP7L7eiaBonicVKu4NpLWLwhibF2fGg\/132","","",1,0,"","","oXUAFtwt_ZbxKSadUcQxeVDT4M48",""],false]
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.53894400]	Mysql Execute Result:4
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.53990800]	RedisCommands Args:["hMset","oXUAFtwt_ZbxKSadUcQxeVDT4M48",{"access_token":"9_s0kfKt7qMi-cHb4qdiIds9zeSXP0jnqb3DL4WV8HqtI_MJBsteJuNfcgQPG7RWmJ-x-mF6hrSbUHt6nkKjlyOg","expires_in":7200,"refresh_token":"9_s0kfKt7qMi-cHb4qdiIds7K_rDH2vtAMdZtvN6q-N6i5_17G2C91Jc7DPtpFM_YOwMdLNPZT9JqBOp03tgEBOA","openid":"oXUAFtwt_ZbxKSadUcQxeVDT4M48","scope":"snsapi_userinfo","memberId":4}]
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.54123200]	RedisCommands Result:1
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.54134200]	RedisCommands Args:["Expire",7200]
58.247.120.134[Info] pid[3246][05-21 16:42:01 0.54221600]	RedisCommands Result:false
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.40193900]	RedisCommands Args:["get","ApiLimit:weixin:wxfwhLogin:58.247.120.134"]
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.40285300]	RedisCommands Result:false
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.40296700]	RedisCommands Args:["setex","ApiLimit:weixin:wxfwhLogin:58.247.120.134",1,1]
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.40317400]	RedisCommands Result:1
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.63329500]	Mysql Execute Query:["select id, nickname, token, state, mobile, email, avatar, level, point, updateVersion, openId, unionId from members where openId = ?",["oXUAFtwt_ZbxKSadUcQxeVDT4M48"],true]
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.63452300]	Mysql Execute Result:false
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.63469100]	Mysql Execute Query:["insert members set state = ? ,token = ? ,nickname = ? ,password = ? ,avatar = ? ,mobile = ? ,email = ? ,level = ? ,point = ? ,pushClientId = ? ,deviceToken = ? ,openId = ? ,unionId = ?",["正常","","🤑🙄🤥🤔🤗😶😯🤑","","http:\/\/thirdwx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLALXb4ceugZ45BwkaLQWb7o6ub2Giah8nicOYKbdJ9AUsU28w4uP7L7eiaBonicVKu4NpLWLwhibF2fGg\/132","","",1,0,"","","oXUAFtwt_ZbxKSadUcQxeVDT4M48",""],false]
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.63625700]	Mysql Execute Result:1
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.63650800]	RedisCommands Args:["hMset","oXUAFtwt_ZbxKSadUcQxeVDT4M48",{"access_token":"9_pDPgnXsh-dvrWVh8Ij9fFdRLaPudyL5CwQ_8uBQCKvgv0tDYGIOfa852do0zPNWoYad1q_eHs_5WxRKW8RzAAw","expires_in":7200,"refresh_token":"9_SIC6hqc4HdZ03yp56oZXtfsMAebbTW4YT0Ge6_IQOWUu7EiTjMop6-7HEKI1qfl_noNLUWhb72hNdDUAEruO5A","openid":"oXUAFtwt_ZbxKSadUcQxeVDT4M48","scope":"snsapi_userinfo","memberId":1}]
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.63682800]	RedisCommands Result:1
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.63692400]	RedisCommands Args:["Expire","oXUAFtwt_ZbxKSadUcQxeVDT4M48",7200]
58.247.120.134[Info] pid[3252][05-21 16:48:55 0.63713100]	RedisCommands Result:1
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.52721900]	RedisCommands Args:["get","ApiLimit:weixin:wxfwhLogin:58.247.120.134"]
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.53008300]	RedisCommands Result:false
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.53023200]	RedisCommands Args:["setex","ApiLimit:weixin:wxfwhLogin:58.247.120.134",1,1]
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.53048400]	RedisCommands Result:1
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.77604100]	Mysql Execute Query:["select id, nickname, token, state, mobile, email, avatar, level, point, updateVersion, openId, unionId from members where openId = ?",["oXUAFtwt_ZbxKSadUcQxeVDT4M48"],true]
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.77771500]	Mysql Execute Result:false
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.77787400]	Mysql Execute Query:["insert members set state = ? ,token = ? ,nickname = ? ,password = ? ,avatar = ? ,mobile = ? ,email = ? ,level = ? ,point = ? ,pushClientId = ? ,deviceToken = ? ,openId = ? ,unionId = ?",["正常","","🤑🙄🤥🤔🤗😶😯🤑","","http:\/\/thirdwx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLALXb4ceugZ45BwkaLQWb7o6ub2Giah8nicOYKbdJ9AUsU28w4uP7L7eiaBonicVKu4NpLWLwhibF2fGg\/132","","",1,0,"","","oXUAFtwt_ZbxKSadUcQxeVDT4M48",""],false]
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.77943900]	Mysql Execute Result:1
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.77969300]	RedisCommands Args:["hMset","oXUAFtwt_ZbxKSadUcQxeVDT4M48",{"access_token":"9_j-cO_bfBpY5dDnCTs6sKgGoyenVW8gXMB9xr3eVoShvFjVdJHgYlqTAKsW4mChEOFRmz9dUUKF7uxLwPL97O7g","expires_in":7200,"refresh_token":"9_3Felvm-oNf0WrkZCJ5HIenlYiD7FndJYsiTiwCQNf7DRMSL2brxeKN8OC1FpkjqCAT-A8-GE2wViLlpE2i3k8Q","openid":"oXUAFtwt_ZbxKSadUcQxeVDT4M48","scope":"snsapi_userinfo","memberId":1}]
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.78018600]	RedisCommands Result:1
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.78030100]	RedisCommands Args:["Expire","oXUAFtwt_ZbxKSadUcQxeVDT4M48",7200]
58.247.120.134[Info] pid[3252][05-21 17:13:07 0.78060100]	RedisCommands Result:1
